"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","wine_type"
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,"red"
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,"red"
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,"red"
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7,"red"
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,"red"
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,"red"
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6,"red"
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,"red"
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5,"red"
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,"red"
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,"red"
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,"red"
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,"red"
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,"red"
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5,"red"
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,"red"
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,"red"
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,"red"
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,"red"
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7,"red"
10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6,"red"
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,"red"
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,"red"
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,"red"
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,"red"
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,"white"
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,"white"
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,"white"
6.8,0.45,0.36,5,0.033,28,156,0.991,3.11,0.4,12.4,7,"white"
6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7,"white"
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5,"white"
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5,"white"
6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6,"white"
6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,6,"white"
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,"white"
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4,"white"
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7,"white"
6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,6,"white"
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6,"white"
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5,"white"
5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6,"white"
7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6,"white"
8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5,"white"
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6,"white"
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,"white"
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3,"white"
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,"white"
7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7,"white"
6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4,6,"white"
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5,"white"
