"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","wine_type"
0.882723629129733,0.00994043650931423,0.66,0.585786437626905,-4.56658826726614,15,88,0.99357,3.66,0.6,11.5,6,"red"
0.93617786780681,-0.698615245360079,0.25,0.549047499779977,-3.26557366068805,14,38,0.9984,3.43,0.65,9,6,"red"
0.940118831479873,-0.46681036971639,0.22,0.709005551264194,-3.02314116596708,5,33,0.99612,3.37,0.58,11,5,"red"
0.982729129776754,-1.36129818269696,0.58,0.619868881315291,-3.96378130777141,7,19,0.998,3.31,0.88,10.5,7,"red"
0.978377102074227,0.0197634646100609,0.43,0.825559560970593,-3.37157718775239,26,88,0.9984,3.08,0.57,10.1,6,"red"
0.942019923828138,-1.06754889859105,0.28,0.619868881315291,-3.61115124588991,13,30,0.9968,3.23,0.73,9.7,7,"red"
0.915770155080092,-0.766745538909265,0.19,0.466070022305259,-3.30700718456283,13,26,0.99547,3.38,0.64,9.8,6,"red"
0.954174928064443,-0.53783171624145,0.29,0.651600275073516,-2.95654987013225,5,15,0.9988,3.36,0.49,9.1,5,"red"
0.947464832726981,-0.556478036349164,0.29,0.759652654107915,-2.78905382098335,31,119,0.99801,3.15,0.5,9.1,5,"red"
0.977239921885737,-1.65162498565493,0.47,0.619868881315291,-3.61115124588991,6,24,0.9978,3.15,0.9,11,7,"red"
0.920729509213876,-0.519554645091086,0.02,0.735088935932648,-3.26557366068805,17,87,0.99745,3.48,0.6,9.7,6,"red"
0.968663876524926,-0.433269123024008,0.39,0.881966011250105,-3.22534998135843,21,59,0.9989,3.37,0.71,11.5,7,"red"
0.967342879867022,-0.635046010489626,0.17,0.825559560970593,-3.14828393125532,20,53,1.0004,3.14,0.61,9.4,5,"red"
0.875395543382549,-0.501633634680234,0.03,0.367006838144548,-3.28613504334996,6,13,0.99498,3.66,0.62,10.1,4,"red"
0.957317167948702,-0.815009555908297,0.31,0.782838761099631,-3.20567188506996,24,125,0.9984,3.31,0.61,9.4,5,"red"
0.93617786780681,-0.743491774985175,0.17,0.41886116991581,-3.24531465801069,21,102,0.996,3.39,0.48,9.5,5,"red"
0.913186650927337,-1.13351602348194,0.32,0.50928801500014,-3.58529146572246,4,8,0.9928,3.36,0.55,12.8,7,"red"
0.957317167948702,-0.919381259711458,0.34,0.735088935932648,-3.28613504334996,26,86,0.9987,3.38,0.62,9.5,6,"red"
0.992399180186406,-0.865803381559205,0.55,0.585786437626905,-3.43928070120963,25,49,0.9997,3.1,0.76,10.3,6,"red"
0.902087419337057,-1.31971750595354,0.09,0.309691490542967,-3.61115124588991,15,28,0.99459,3.42,0.7,10,7,"red"
0.980591397967954,-0.815009555908297,0.43,0.619868881315291,-2.11820976942624,27,66,0.9982,3.17,0.76,10.8,6,"red"
0.985800775992087,-1.13351602348194,0.66,0.709005551264194,-2.60306987880791,3,8,0.99642,3.2,0.53,11.9,6,"red"
0.954174928064443,-0.393018251145483,0.26,0.41886116991581,-3.1296803491162,16,23,0.99694,3.32,0.47,9.4,5,"red"
0.93413451496532,-0.346982909545592,0.01,0.619868881315291,-3.66431053943933,31,43,0.99371,3.41,0.57,11.8,6,"red"
0.954174928064443,-0.840075181687506,0.45,0.759652654107915,-3.63748553356099,7,18,0.9947,3.32,0.79,14,6,"red"
0.904983832479652,-1.13351602348194,0.32,0.0930748215088155,-5.01607725346309,13,66,0.9916,3.1,0.46,10.6,5,"white"
